App Id,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Price,Size
com.rika.noviana.h.muammar.za.bimbingan.tilawatil.quran.offline.tilawatilmuammar.qiroat.muammarza,4.3,132,"10,000+",10000,14632,0,69M
com.NewL00k.DemonSlayerQuizAnime.KimetsunoYaibaChallange,0,0,"1,000+",1000,1192,0,16M
com.udac.coders.Pianotile,5,16,10+,10,34,0,3.7M
com.godevelopers.Pterodactyl,0,0,100+,100,295,0,22M
com.xrsta.xatr,,,10+,10,14,0,Varies with device
fi.cardplus,0,0,100+,100,221,0,30M
com.sapanbhuta.goodfellas,4,8,"1,000+",1000,1628,0,Varies with device
za.co.pwharvey,0,0,100+,100,122,0,52M
com.whats360,4.4,469,"100,000+",100000,148112,0,7.5M
uk.co.mrdw.photostopwatch,4.1,82,"10,000+",10000,14209,0,343k
appinventor.ai_ttaslicay.TekmanBatur,5,5,50+,50,51,0,6.2M
com.taxsee.driver,4.4,246,"5,000,000+",5000000,6864573,0,18M
com.ilmuhikmahasmasuryani.forextradingplatforms,4.5,132,"10,000+",10000,10911,0,16M
com.mektricals.newapp,0,0,10+,10,43,0,7.3M
com.magic.arena.kindom.story.momotaro.memory,4.1,248,"10,000+",10000,22737,0,84M
com.zuinqstudio.ismygymtpv,0,0,10+,10,17,0,4.9M
com.hole19golf.wear,2.8,160,"10,000+",10000,10407,4.99,30M
com.vantoanapps.birdsimageswallpapers,3.8,12,"5,000+",5000,5903,0,4.3M
com.poc.dkna,0,0,5+,5,6,0,1.2M
com.quickmobile.decontainer,0,0,10+,10,35,0,54M
com.prasen.madhyamikphysicalsciencemcq,0,0,"10,000+",10000,23996,0,13M
com.manu.valentineday,0,0,100+,100,127,0,5.9M
com.desclick.pizzaprontonemours,0,0,100+,100,310,0,4.4M
com.diwali.photo.frame2019.diwaliphotoframe2019.holi.frame2020.august.photoframe,3.8,6,"1,000+",1000,3685,0,5.6M
simply.learn.portuguese,4.4,395,"50,000+",50000,70812,0,7.7M
com.processingbox.onewordperdayes,3.5,16,"1,000+",1000,4007,0,6.3M
com.minube.guides.berlin,3.7,14,"1,000+",1000,2942,0,40M
com.kavitul.drcardioecg,0,0,10+,10,28,0,4.8M
com.PreDesgin.Premium,4,6,100+,100,423,0,12M
com.iwaiterapp.papillonsalatsandwiches,0,0,50+,50,56,0,21M
net.bamboomedia.speedresto,0,0,"1,000+",1000,1558,0,5.4M
com.sfcm.app,0,0,100+,100,373,0,Varies with device
uz.ecma.ussdc015,4.4,7,100+,100,392,0,6.5M
de.phoenixcontect.visuplusmobile,3,7,"1,000+",1000,2596,0,"1,018k"
com.opensipkd.esptpdsubang,0,0,500+,500,538,0,3.8M
com.fawwazsound.beberexha,3.9,40,"1,000+",1000,3590,0,34M
com.qamar.ide.web,4.1,1476,"100,000+",100000,192935,0,6.0M
jp.co.right.cleanponmarutomi,3.8,6,"1,000+",1000,2492,0,3.1M
com.assetinfinity.ticketportal,0,0,10+,10,37,0,7.5M
com.smartgladiator.lockdown,0,0,1+,1,2,0,11M
com.alexmayo.ascula,0,0,50+,50,50,0,9.9M
